"response_id","type","frequency"
"GEN24_1000528","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","Don't know/ Not applicable"
"GEN24_1000530","Crime or theft","1 - Never"
"GEN24_1000530","Dangerous driving, including speeding and drink driving","2 - Sometimes"
"GEN24_1000530","Litter/waste on the streets","2 - Sometimes"
"GEN24_1000530","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000530","Overcrowded vehicle parking lot","1 - Never"
"GEN24_1000530","Rude behaviour from locals","2 - Sometimes"
"GEN24_1000530","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","2 - Sometimes"
"GEN24_1000534","Crime or theft","1 - Never"
"GEN24_1000534","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000534","Litter/waste on the streets","2 - Sometimes"
"GEN24_1000534","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000534","Overcrowded vehicle parking lot","2 - Sometimes"
"GEN24_1000534","Rude behaviour from locals","1 - Never"
"GEN24_1000534","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","2 - Sometimes"
"GEN24_1000535","Crime or theft","1 - Never"
"GEN24_1000535","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000535","Litter/waste on the streets","2 - Sometimes"
"GEN24_1000535","Overcrowded sightseeing spot","2 - Sometimes"
"GEN24_1000535","Overcrowded vehicle parking lot","2 - Sometimes"
"GEN24_1000535","Rude behaviour from locals","2 - Sometimes"
"GEN24_1000535","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","1 - Never"
"GEN24_1000536","Crime or theft","1 - Never"
"GEN24_1000536","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000536","Litter/waste on the streets","1 - Never"
"GEN24_1000536","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000536","Overcrowded vehicle parking lot","1 - Never"
"GEN24_1000536","Rude behaviour from locals","1 - Never"
"GEN24_1000536","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","1 - Never"
"GEN24_1000538","Crime or theft","1 - Never"
"GEN24_1000538","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000538","Litter/waste on the streets","1 - Never"
"GEN24_1000538","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000538","Overcrowded vehicle parking lot","1 - Never"
"GEN24_1000538","Rude behaviour from locals","1 - Never"
"GEN24_1000538","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","1 - Never"
"GEN24_1000539","Crime or theft","1 - Never"
"GEN24_1000539","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000539","Litter/waste on the streets","1 - Never"
"GEN24_1000539","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000539","Overcrowded vehicle parking lot","Don't know/ Not applicable"
"GEN24_1000539","Rude behaviour from locals","1 - Never"
"GEN24_1000539","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","2 - Sometimes"
"GEN24_1000540","Crime or theft","4 - Always"
"GEN24_1000540","Dangerous driving, including speeding and drink driving","3 - Most of the times"
"GEN24_1000540","Litter/waste on the streets","3 - Most of the times"
"GEN24_1000540","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000540","Overcrowded vehicle parking lot","2 - Sometimes"
"GEN24_1000540","Rude behaviour from locals","1 - Never"
"GEN24_1000540","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","4 - Always"
"GEN24_1000542","Crime or theft","1 - Never"
"GEN24_1000542","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000542","Litter/waste on the streets","1 - Never"
"GEN24_1000542","Overcrowded sightseeing spot","2 - Sometimes"
"GEN24_1000542","Overcrowded vehicle parking lot","2 - Sometimes"
"GEN24_1000542","Rude behaviour from locals","1 - Never"
"GEN24_1000542","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","1 - Never"
"GEN24_1000543","Crime or theft","1 - Never"
"GEN24_1000543","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000543","Litter/waste on the streets","1 - Never"
"GEN24_1000543","Overcrowded sightseeing spot","1 - Never"
"GEN24_1000543","Overcrowded vehicle parking lot","1 - Never"
"GEN24_1000543","Rude behaviour from locals","1 - Never"
"GEN24_1000543","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","1 - Never"
"GEN24_1000558","Crime or theft","1 - Never"
"GEN24_1000558","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000558","Litter/waste on the streets","2 - Sometimes"
"GEN24_1000558","Overcrowded sightseeing spot","4 - Always"
"GEN24_1000558","Overcrowded vehicle parking lot","3 - Most of the times"
"GEN24_1000558","Rude behaviour from locals","2 - Sometimes"
"GEN24_1000558","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","2 - Sometimes"
"GEN24_1000566","Crime or theft","1 - Never"
"GEN24_1000566","Dangerous driving, including speeding and drink driving","1 - Never"
"GEN24_1000566","Litter/waste on the streets","1 - Never"
"GEN24_1000566","Overcrowded sightseeing spot","2 - Sometimes"
"GEN24_1000566","Overcrowded vehicle parking lot","2 - Sometimes"
"GEN24_1000566","Rude behaviour from locals","1 - Never"
"GEN24_1000566","Vandalism such as graffiti/ tagging/ broken windows in shops and public buildings","1 - Never"
"GEN24_1000571","Crime or theft","1 - Never"
"GEN24_1000571","Dangerous driving, including speeding and drink driving","2 - Sometimes"
"GEN24_1000571","Litter/waste on the streets","2 - Sometimes"
"GEN24_1000571","Overcrowded sightseeing spot","2 - Sometimes"
"GEN24_1000571","Overcrowded vehicle parking lot","2 - Sometimes"
"GEN24_1000571","Rude behaviour from locals","1 - Never"
