"response_id","accomm_type_used"
"GEN24_1001257","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001258","Hotel"
"GEN24_1001258","Staying with family or friends"
"GEN24_1001262","Hotel"
"GEN24_1001263","Staying with family or friends"
"GEN24_1001267","Staying with family or friends"
"GEN24_1001272","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001277","Staying with family or friends"
"GEN24_1001281","Other (paid) camping ground / holiday park (where you can stay in a tent, cabin, caravan, or campervan / motorhome)"
"GEN24_1001282","Staying with family or friends"
"GEN24_1001297","Backpackers"
"GEN24_1001313","Hotel"
"GEN24_1001315","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001316","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001317","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001325","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001332","Hotel"
"GEN24_1001332","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1001336","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1001338","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001350","Hotel"
"GEN24_1001350","Staying with family or friends"
"GEN24_1001355","Hotel"
"GEN24_1001362","Staying with family or friends"
"GEN24_1001367","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001367","Staying with family or friends"
"GEN24_1001370","Hotel"
"GEN24_1001370","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001370","Staying with family or friends"
"GEN24_1001385","Hotel"
"GEN24_1001385","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001385","Staying with family or friends"
"GEN24_1001386","Hotel"
"GEN24_1001386","Luxury Accommodation, 5-star Hotel, Luxury Lodge"
"GEN24_1001386","Motel, Motor Inn or Serviced Apartment"
"GEN24_1001386","Staying with family or friends"
"GEN24_1001388","Hotel"
"GEN24_1001403","Backpackers"
"GEN24_1001406","Backpackers"
"GEN24_1001407","House/ flat/ apartment booked through an online website (including Booking.com, AirBnB, HomeSwap, HomeStay, Hotel.com, Expedia, etc)"
"GEN24_1001411","Hotel"
"GEN24_1001412","Hotel"
