"response_id","travelled_with"
"GEN24_1001387","Child/children aged 15 or older"
"GEN24_1001387","My husband, wife or partner"
"GEN24_1001388","My husband, wife or partner"
"GEN24_1001397","Child/children aged under 15"
"GEN24_1001397","My husband, wife or partner"
"GEN24_1001397","Other adult family / relative"
"GEN24_1001397","Other adult(s) who are not family / relatives"
"GEN24_1001403","Other adult(s) who are not family / relatives"
"GEN24_1001406","My husband, wife or partner"
"GEN24_1001407","My husband, wife or partner"
"GEN24_1001411","Other adult(s) who are not family / relatives"
"GEN24_1001412","Other adult family / relative"
"GEN24_1001412","Other adult(s) who are not family / relatives"
"GEN24_1001413","Other adult family / relative"
"GEN24_1001413","Other adult(s) who are not family / relatives"
"GEN24_1001416","My husband, wife or partner"
"GEN24_1001417","No one, I was on my own"
"GEN24_1001423","No one, I was on my own"
"GEN24_1001428","My husband, wife or partner"
"GEN24_1001429","My husband, wife or partner"
"GEN24_1001431","Other adult(s) who are not family / relatives"
"GEN24_1001432","Other adult family / relative"
"GEN24_1001433","Other adult(s) who are not family / relatives"
"GEN24_1001434","Other adult(s) who are not family / relatives"
"GEN24_1001440","Other adult(s) who are not family / relatives"
"GEN24_1001446","Other adult(s) who are not family / relatives"
"GEN24_1001447","My husband, wife or partner"
"GEN24_1001450","Other adult(s) who are not family / relatives"
"GEN24_1001458","No one, I was on my own"
"GEN24_1001461","No one, I was on my own"
"GEN24_1001465","No one, I was on my own"
"GEN24_1001470","Other adult family / relative"
"GEN24_1001478","My husband, wife or partner"
"GEN24_1001479","My husband, wife or partner"
"GEN24_1001481","Child/children aged under 15"
"GEN24_1001485","Child/children aged under 15"
"GEN24_1001488","Other adult family / relative"
"GEN24_1001491","No one, I was on my own"
"GEN24_1001493","Other adult(s) who are not family / relatives"
"GEN24_1001496","My husband, wife or partner"
"GEN24_1001507","My husband, wife or partner"
"GEN24_1001511","Other adult family / relative"
"GEN24_1001514","My husband, wife or partner"
"GEN24_1001515","No one, I was on my own"
"GEN24_1001519","Other adult family / relative"
"GEN24_1001520","Other adult family / relative"
"GEN24_1001524","No one, I was on my own"
"GEN24_1001526","No one, I was on my own"
"GEN24_1001527","Child/children aged 15 or older"
"GEN24_1001534","Child/children aged 15 or older"
"GEN24_1001540","My husband, wife or partner"
"GEN24_1001542","No one, I was on my own"
"GEN24_1001543","No one, I was on my own"
"GEN24_1001547","No one, I was on my own"
"GEN24_1001548","Other adult family / relative"
"GEN24_1001552","No one, I was on my own"
"GEN24_1001557","No one, I was on my own"
"GEN24_1001558","My husband, wife or partner"
"GEN24_1001560","No one, I was on my own"
"GEN24_1001562","Other adult(s) who are not family / relatives"
"GEN24_1001566","My husband, wife or partner"
"GEN24_1001568","Child/children aged under 15"
