==== tree_model_full: summary() ===
Call:
rpart(formula = recommend_rating ~ ., data = select(df, -response_id, 
    -visit_purpose, -country_of_residence_group), method = "anova", 
    control = rpart.control(cp = 1e-04, xval = 10))
  n= 21551 

              CP nsplit rel error    xerror       xstd
308 0.0002002420    701 0.6768031 1.2486482 0.02060398
309 0.0001991944    704 0.6762023 1.2488638 0.02058253
310 0.0001990676    705 0.6760031 1.2491155 0.02058390
311 0.0001990276    706 0.6758041 1.2490880 0.02058357
312 0.0001979952    709 0.6752070 1.2491261 0.02058397
313 0.0001976121    710 0.6750090 1.2496643 0.02058833
314 0.0001975251    712 0.6746138 1.2496760 0.02058834
315 0.0001975141    715 0.6740212 1.2497333 0.02058832
316 0.0001973998    716 0.6738237 1.2496963 0.02058827
317 0.0001973153    717 0.6736263 1.2497110 0.02058894
318 0.0001973119    720 0.6730286 1.2497110 0.02058894
319 0.0001964272    721 0.6728313 1.2499170 0.02059629
320 0.0001962726    725 0.6720456 1.2501600 0.02060470
321 0.0001956355    726 0.6718493 1.2503541 0.02060785
322 0.0001952234    727 0.6716537 1.2506535 0.02061147
323 0.0001945621    728 0.6714585 1.2509066 0.02061174
324 0.0001944983    729 0.6712639 1.2510114 0.02061560
325 0.0001936057    730 0.6710694 1.2508672 0.02059612
326 0.0001935012    731 0.6708758 1.2510742 0.02059651
327 0.0001933105    732 0.6706823 1.2513185 0.02059663
328 0.0001933004    734 0.6702957 1.2518573 0.02059689
329 0.0001932184    735 0.6701024 1.2518573 0.02059689
330 0.0001923829    742 0.6685856 1.2520641 0.02059883
331 0.0001922627    745 0.6680084 1.2524946 0.02060216
332 0.0001908867    750 0.6670471 1.2537360 0.02060542
333 0.0001908116    751 0.6668562 1.2539453 0.02060694
334 0.0001904079    752 0.6666654 1.2541999 0.02060988
335 0.0001897649    753 0.6664750 1.2548306 0.02061181
336 0.0001885986    757 0.6657159 1.2552230 0.02061690
337 0.0001879133    760 0.6651429 1.2560775 0.02062118
338 0.0001876375    761 0.6649550 1.2562304 0.02062477
339 0.0001870655    762 0.6647674 1.2563866 0.02062893
340 0.0001867565    764 0.6643933 1.2565184 0.02062835
341 0.0001865745    767 0.6638066 1.2564296 0.02062618
342 0.0001864351    768 0.6636200 1.2566294 0.02062727
343 0.0001859270    769 0.6634336 1.2568165 0.02064308
344 0.0001853044    770 0.6632477 1.2570155 0.02064615
345 0.0001846719    771 0.6630624 1.2570321 0.02064513
346 0.0001842093    772 0.6628777 1.2573534 0.02064577
347 0.0001840071    782 0.6610356 1.2575387 0.02064526
348 0.0001822853    783 0.6608516 1.2574302 0.02063826
349 0.0001816362    786 0.6603047 1.2584127 0.02068219
350 0.0001809776    789 0.6597598 1.2585757 0.02068258
351 0.0001802327    790 0.6595788 1.2587584 0.02068248
352 0.0001789895    792 0.6592184 1.2588374 0.02068548
353 0.0001786231    794 0.6588604 1.2595070 0.02069037
354 0.0001785825    796 0.6585032 1.2595672 0.02069056
355 0.0001783817    798 0.6581460 1.2596096 0.02069040
356 0.0001782632    801 0.6576108 1.2597182 0.02069106
357 0.0001768931    802 0.6574326 1.2601476 0.02069644
358 0.0001761160    804 0.6570788 1.2607987 0.02069689
359 0.0001760053    806 0.6567266 1.2609407 0.02069696
360 0.0001760053    807 0.6565506 1.2610045 0.02069689
361 0.0001752496    808 0.6563745 1.2610986 0.02069719
362 0.0001750725    809 0.6561993 1.2610763 0.02068086
363 0.0001739181    810 0.6560242 1.2611452 0.02068029
364 0.0001736810    811 0.6558503 1.2620545 0.02069282
365 0.0001736332    812 0.6556766 1.2619503 0.02069240
366 0.0001729490    813 0.6555030 1.2620890 0.02069379
367 0.0001727263    814 0.6553300 1.2621129 0.02069472
368 0.0001725025    815 0.6551573 1.2623769 0.02069458
369 0.0001713711    816 0.6549848 1.2625821 0.02069521
370 0.0001713411    817 0.6548134 1.2633254 0.02070948
371 0.0001712971    818 0.6546421 1.2634415 0.02070979
372 0.0001709727    821 0.6541282 1.2633647 0.02070954
373 0.0001707393    822 0.6539572 1.2635955 0.02070942
374 0.0001705441    823 0.6537865 1.2637056 0.02071325
375 0.0001702286    825 0.6534454 1.2640577 0.02071296
376 0.0001700132    826 0.6532752 1.2640724 0.02071284
377 0.0001696419    827 0.6531052 1.2642712 0.02071377
378 0.0001696276    828 0.6529355 1.2645959 0.02072033
379 0.0001693135    829 0.6527659 1.2648283 0.02072064
380 0.0001690020    830 0.6525966 1.2648897 0.02072209
381 0.0001688067    831 0.6524276 1.2649772 0.02072307
382 0.0001681516    832 0.6522588 1.2652656 0.02072420
383 0.0001673364    833 0.6520906 1.2652365 0.02071960
384 0.0001672849    834 0.6519233 1.2651668 0.02072038
385 0.0001669408    835 0.6517560 1.2656561 0.02073252
386 0.0001656974    836 0.6515891 1.2664767 0.02073325
387 0.0001654848    837 0.6514234 1.2671830 0.02075264
388 0.0001650858    841 0.6507614 1.2671177 0.02075498
389 0.0001649414    842 0.6505963 1.2671854 0.02074094
390 0.0001638229    844 0.6502665 1.2676270 0.02074230
391 0.0001623737    846 0.6499388 1.2685437 0.02073771
392 0.0001621458    849 0.6494517 1.2693263 0.02075275
393 0.0001617755    851 0.6491274 1.2694780 0.02075343
394 0.0001617305    860 0.6476489 1.2694364 0.02075309
395 0.0001599864    861 0.6474872 1.2698086 0.02075723
396 0.0001599850    865 0.6468472 1.2705400 0.02076659
