term,estimate,std_error,t_value,p_value,percent_effect,dollar_effect
transport_local_bus_service,-0.06305377999345575,0.012904590198516237,-4.886151285974632,1.035531706536115e-6,-6.110702132691415,-209.08068299083703
visit_purpose_for_your_honeymoon,0.1810794176472195,0.0379281374064161,4.774276566942284,1.8152048637999262e-6,19.851035838653107,679.2129678546663
country_of_residence_canada,0.115869188781752,0.024441735292479286,4.740628576294454,2.1439669575895383e-6,12.284898128282862,420.33383977152613
transport_limousine_car_with_driver_included,0.131106379494697,0.028831934522218872,4.547262667847069,5.463950851145886e-6,14.008905695904383,479.32160777142354
visit_purpose_other,-0.15664061506213786,0.03469911746851905,-4.514253574438913,6.387140044923265e-6,-14.498871821489933,-496.08604006664996
activity_went_for_a_walk_hike_trek_or_tramp,-0.057602468095539316,0.012932494327895607,-4.454088023165788,8.466772894574201e-6,-5.597484702930866,-191.5206958719957
arrival_location_wellington_airport,-0.10640050355144737,0.023952704504702275,-4.442108135662065,8.951836161158552e-6,-10.093550256427031,-345.355793097152
accomm_house_flat_that_you_paid_some_rent_for,0.09740363459600065,0.021958833517962944,4.435738105866222,9.220458870473238e-6,10.23052123578787,350.0423226141905
country_of_residence_austria,0.2928196769451962,0.06611459299527483,4.428971936137061,9.514215504466976e-6,34.02010994848008,1164.014816791395
activity_brewery_gin_vineyard_wine_trail,0.055307191755434755,0.012536531484452414,4.411682116702356,1.0306027648688292e-5,5.6865225097874506,194.5671682847136
decision_ive_always_wanted_to_visit,-0.059793131646352575,0.01357347696909576,-4.405144811641868,1.062150284050792e-5,-5.804062498459695,-198.58885688557885
country_of_residence_new_caledonia,0.27330114352309637,0.06397051149675274,4.27229886284354,1.9428498451640105e-5,31.42959769565565,1075.3791642337228
departure_location_queenstown,0.11421739308900358,0.026824654163711506,4.257926025511162,2.0719233533659536e-5,12.099579513574366,413.9930720998572
country_of_residence_south_africa,-0.18356750811347533,0.044621861516156984,-4.11384693233849,3.9054236308905606e-5,-16.770431287036924,-573.808565923377
arrival_season_summer,0.049928185163733055,0.012513853654960948,3.989832911617893,6.633511518273719e-5,5.119560222519803,175.1682743969246
country_of_residence_sweden,0.2744136378456713,0.07084557603919106,3.873405414811906,1.0763744428365879e-4,31.57589373858043,1080.3847553931953
country_of_residence_wales,0.24112914979196354,0.06370087088615396,3.7853352150068553,1.5391116718521534e-4,27.26853917482799,933.0064976222828
country_of_residence_taiwan,0.1554755588247929,0.041367876829206625,3.758364478474364,1.7147191955775297e-4,16.82133832103425,575.5503751633098
transport_helicopter,0.08274409469851186,0.022621810293552473,3.6577132256340716,2.550724910337674e-4,8.62637923135734,295.1558138926627
decision_i_saw_or_found_a_good_deal_on_flights_to_new_zealand_a_good_travel_package_to_new_zealand,-0.09504642464236411,0.026409528367174688,-3.598944415853355,3.2021682646328855e-4,-9.066928186508017,-310.2294133635035
activity_health_spa_or_day_spa,0.06085684740544103,0.017088156966152433,3.561346465039146,3.697409654333064e-4,6.274676834017168,214.69115815423805
activity_jet_boating,0.062267898144098825,0.017772721569707658,3.503565725703487,4.5998998457695415e-4,6.424741644896481,219.82569956539314
accomm_motel_motor_inn_or_serviced_apartment,0.04486764097867743,0.013003056547133915,3.4505457094675935,5.605097421132678e-4,4.5889417847133185,157.0129032177951
activity_a_national_park,0.0416506822679556,0.01272867365780018,3.272193426251595,0.0010688184788331097,4.253024083776902,145.51931364078789
transport_other_type_of_transport,-0.09821680248086982,0.03030647776542833,-3.2407857897927417,0.0011937890140638052,-9.354763867147831,-320.07785293566747
visit_purpose_just_for_the_holiday,0.08891748390502487,0.028060006673323413,3.168833312843027,0.001532627478511193,9.299046330031668,318.17144996235095
country_of_residence_korea_republic_of,0.14119281585462023,0.0446483345401763,3.162331077043187,0.001567252523925708,15.164668231745804,518.8665921482866
