response_id,experience_more_maori_culture,improve_maori_culture_understanding,enjoy_maori_culture_experience
GEN24_1002122,Agree,Agree,Agree
GEN24_1002128,Agree,Agree,Agree
GEN24_1002130,Agree,NA,NA
GEN24_1002138,Don't know / Not sure,NA,NA
GEN24_1002147,Disagree,NA,NA
GEN24_1002149,Agree,NA,NA
GEN24_1002157,Don't know / Not sure,NA,NA
GEN24_1002158,Agree,Agree,Agree
GEN24_1002160,Agree,NA,NA
GEN24_1002171,Don't know / Not sure,NA,NA
GEN24_1002172,Don't know / Not sure,NA,NA
GEN24_1002177,Disagree,Disagree,Agree
GEN24_1002180,Don't know / Not sure,NA,NA
GEN24_1002182,Agree,NA,NA
GEN24_1002191,Agree,NA,NA
GEN24_1002200,Agree,NA,NA
GEN24_1002201,Don't know / Not sure,NA,NA
GEN24_1002210,Disagree,NA,NA
GEN24_1002211,Disagree,NA,NA
GEN24_1002221,Agree,Agree,Agree
GEN24_1002226,Don't know / Not sure,NA,NA
GEN24_1002229,Disagree,NA,NA
GEN24_1002231,Agree,NA,NA
GEN24_1002242,Agree,NA,NA
GEN24_1002244,Don't know / Not sure,NA,Agree
GEN24_1002250,Don't know / Not sure,NA,NA
GEN24_1002251,Agree,NA,Agree
GEN24_1002256,Don't know / Not sure,NA,NA
GEN24_1002258,Agree,NA,NA
GEN24_1002259,Agree,NA,NA
GEN24_1002279,Agree,NA,NA
GEN24_1002284,Don't know / Not sure,NA,NA
GEN24_1002291,Don't know / Not sure,NA,NA
GEN24_1002297,Agree,Agree,Agree
GEN24_1002298,Agree,Agree,Agree
GEN24_1002301,Agree,NA,NA
GEN24_1002304,Agree,Agree,Agree
GEN24_1002306,Disagree,Disagree,Agree
GEN24_1002307,Don't know / Not sure,NA,NA
GEN24_1002308,Disagree,NA,NA
GEN24_1002310,Don't know / Not sure,NA,NA
GEN24_1002312,Agree,Agree,Agree
GEN24_1002313,Don't know / Not sure,Agree,Agree
GEN24_1002321,Agree,NA,NA
GEN24_1002331,Agree,Agree,Agree
GEN24_1002334,Don't know / Not sure,NA,NA
GEN24_1002338,Agree,NA,NA
GEN24_1002344,Don't know / Not sure,NA,NA
GEN24_1002345,Don't know / Not sure,NA,NA
GEN24_1002346,Don't know / Not sure,NA,NA
GEN24_1002351,Agree,NA,NA
GEN24_1002353,Disagree,NA,NA
GEN24_1002354,Disagree,NA,NA
GEN24_1002361,Agree,Agree,Agree
GEN24_1002366,Agree,NA,NA
GEN24_1002367,Agree,NA,NA
GEN24_1002369,Disagree,NA,NA
GEN24_1002370,Agree,NA,NA
GEN24_1002372,Disagree,Disagree,Agree
GEN24_1002374,Agree,NA,NA
GEN24_1002375,Agree,NA,NA
GEN24_1002380,Disagree,NA,NA
GEN24_1002381,Don't know / Not sure,NA,NA
GEN24_1002382,Disagree,NA,NA
GEN24_1002383,Agree,NA,NA
GEN24_1002384,Disagree,Agree,Agree
GEN24_1002396,Disagree,Agree,Agree
GEN24_1002399,Disagree,Disagree,Agree
GEN24_1002400,Disagree,NA,NA
GEN24_1002403,Disagree,NA,NA
GEN24_1002413,Disagree,NA,NA
